Title,Author,Publication_Date,Genres,Summary,image
The Bell Jar,Sylvia Plath,1963,"['Autobiographical novel', 'Autobiography', 'Childrens literature', 'Fiction', 'Roman u00e0 clef']"," Esther Greenwood, a young woman from the suburbs of Boston, gains a summer internship at a prominent magazine in New York City under editor Jay Cee. At the time of the Rosenbergs' execution, Esther is neither stimulated nor excited by the big city and glamorous culture and lifestyle that girls her age are expected to idolize and emulate. Instead her experiences frighten and disorient her. She appreciates the witty sarcasm and adventurousness of her friend Doreen, but also identifies",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B6A0>
Democracy in America,Alexis de Tocqueville,1935,['Nonfiction']," The primary focus of Democracy in America is an analysis of why republican representative democracy has succeeded in the United States while failing in so many other places. Tocqueville seeks to apply the functional aspects of democracy in America to what he sees as the failings of democracy, his native France. TOCquevilles speculates on the future of democracy on the United Kingdom, discussing possible threats to democracy and possible dangers of democracy. These include his belief that democracy has a tendency to degener",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B850>
The Giver,Lois Lowry,1993,"['Science Fiction', 'Speculative fiction', 'Social sciences', 'Young adult literature', 'Soft science fiction', 'Childrens literature', 'Utopian and dystopian fiction', 'Dystopia', 'Fiction']"," The book focuses on a twelve-year-old boy named Jonas residing in an immaculately-organized, tightly-run, but strict utopian society known as the community of Sameness, where eccentricities in behavior, appearance, or personality are strongly outlawed and opposed. Nearing an age where he will be selected for the position that he will hold in the Community throughout adulthood, Jonas is selected for a role as the Receiver of Memory, the keeper of all ancient memories in the",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B820>
A Solitary Grief,Bernice Rubens,1991-05-06,['Fiction']," The novel opens with psychiatrist Dr Alistair Crown's wife Virginia giving birth to the couple's first child. Crown, who is not present during birth, is informed immediately afterwards that their daughter Doris has Down's syndrome, a fact he is unable to accept. For the next five years, he avoids Doris's face: He never looks at her and he refuses to be shown photos of her. His idea of being close to his daughter consists in his nocturnal visits to",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B700>
Xenocide,Orson Scott Card,1991,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The plot alternates between characters on two planets: Path and Lusitania. LusITania is an alien planet home to a curious species known as the piggies. Following the events of Speaker for the Dead, we find a story of another set of characters living as a member of a Brazilian Catholic human colony on Lusitanania, a unique planet inhabited by the only other two known species of sentient alien life: the Pequeninos ""little ones"" and",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B4C0>
The Restaurant at the End of the Universe,Douglas Adams,1980-01-01,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Comic science fiction', 'Humour']"," The Restaurant at the End of the Universe begins just as The Hitchhiker's Guide to the Galaxy ended. Arthur Dent, Ford Prefect, Trillian, and Zaphod Beeblebrox have just left the planet Magrathea when they are attacked by a Vogon ship. They find they are unable to use the Improbability Drive to escape, as Arthur has accidentally jammed the computer with a simple request for a cup of tea which proved a rather difficult problem. Luckily,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B760>
The Rebel Angels,Robertson Davies,1981,"['Speculative fiction', 'Fiction', 'Novel']"," The Rebel Angels follows several faculty and staff of the fictional College of St. John and Holy Ghost. It did not quite attain the popularity of the Deptford Trilogy, but it is generally considered to be among his best books. The story, like many of Davies', is notable for very strongly drawn and memorable characters & settings. The main characters of the novel are: a man who has a penchant for being a brash; in this case the defrocked monk Parlabane,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B8E0>
Macrolife,George Zebrowski,1979-05,"['Science Fiction', 'Speculative fiction']"," The novel is split into three main sections. (I) Sunspace: 2021... The Bulero family/corporation, inventors and marketers of Bulerite which is used to build the huge cities which house the Earth's (and colonies) teeming millions, are at the pinnacle of their influence and wealth. Unfortunately, it is discovered - too late - that the substance is inherently flawed, in that after a time it destabilizes and self-destructs with spectacular results",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B940>
Till We Have Faces,C. S. Lewis,1956,"['Speculative fiction', 'Fantasy', 'Fiction', 'Parallel novel']"," Part One: The story tells the Ancient Greek myth of Cupid and Psyche, from the perspective of Orual, Psyche's older sister. It begins as the complaint of an old woman who is bitter at the injustice of the gods. Although disfigured herself, and covering her facial deformity with a mask throughout the book, Oroal loves her beautiful half-sister Psyche; and when Psyche is sent as a human sacrifice, at the command of Ung",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019B880>
Heidi,Johanna Spyri,1880,['Childrens literature'],"Adelheid (familiarly known as Heidi) is a girl who has been raised by her aunt Dete in Maienfeld, Switzerland after the early deaths of her parents, Tobias and Adelheid. Dete brings 5-year-old Heidi to her grandfather, which has been at odds with the villagers for years and lives in seclusion on the alm. This has earned him the nickname Alp-Öhi (""Alm Uncle"" in the Graub",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019AC50>
That Hideous Strength,C. S. Lewis,1945,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Dystopia']"," Young academic Mark Studdock has just risen to the position of Senior Fellow in sociology at Bracton College in the University of Edgestow, just when it is engaged in selling off a portion of its land, Bragdon Wood, to a new scientific Institute the NICE (National Institute for Co-ordinated Experiments) whose personnel already includes staff of the college. The sale is agreed to but the college Warden wants to back out of the deal. The sub-",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198C40>
The Heart of the Matter,Graham Greene,1948,"['Speculative fiction', 'Fiction']"," Major Henry Scobie, a long-serving policeman in a British colony on the West Coast of Africa during World War II, is responsible for local and wartime security. His wife Louise, an unhappy, solitary woman who loves literature and poetry, cannot make friends. Scobies feels responsible for her misery, but does not love her. Their only child, Catherine, died in England several years before. Louise is a devout Catholic. Scabie is passed over for promotion to Commissioner",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190199E70>
The Legacy of Heorot,Steven Barnes,1987,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," Two hundred colonists arrive on Avalon to found a new community, having made the 100-year journey from Earth in suspended animation on the starship Geographic (the expedition is funded by the National Geographic Society). The colonists, all selected for their outstanding physical and mental attributes, make a terrible discovery: though the suspended animation technology permitted them to survive the journey worked well enough, it had unforeseeable side effects due to the unprecedented duration of its use. Their intelligence and reasoning skill are damaged.",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190198A30>
VALIS,Philip K. Dick,1981,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," Horselover Fat believes his visions expose hidden facts about the reality of life on Earth, and a group of others join him in researching these matters. One of their theories is that there is some kind of alien space probe in orbit around Earth, which it is aiding them in their quest. It also aided the United States in disclosing the Watergate scandal and the resignation of Richard Nixon in 1974. There is a filmed account of an alternate universe Nixon, ""Ferris Freemont"" and his",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019A1A0>
Critique of Dialectical Reason,Jean-Paul Sartre,1960,['Philosophy']," Critique of Dialectical Reason is the product of a later stage in Sartre's thinking, during which he no longer identified Marxism with the Soviet Union or French Communism but came closer to identifying as a Marxist. It puts forward a revision of Existentialism, and an interpretation of Marxism as a contemporary philosophy par excellence, one that can be criticized only from a reactionary pre-Marxist standpoint. Sartry argues that while the free fusion of many human projects may possibly",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019019BD60>
